סימול,שם,סטטוס,שורה תחתונה,תאריך,מחיר,שינוי יומי %,ציון סופי v2,ציון אמון,רמת אמון,ציון,ציון פונדמנטלי,ציון סנטימנט,ציון סיכון,ציון חדשות,תרומת פונדמנטלי,תרומת טכני,תרומת סקטור,תרומת חדשות,תרומת סיכון,שלמות נתונים,ממוצע 20,ממוצע 50,ממוצע 200,RSI(14),נפח ממוצע 20,נפח נוכחי,יחס נפח,שיא 52 שבועות,מרחק משיא %,רמת סיכון,ביתא,תנודתיות %,ירידה מקס׳ %,אזהרות סיכון,פוטנציאל עלייה %,ביטחון %,רמת ביטחון,פריצה,סקטור,שווי שוק,צמיחת הכנסות %,צמיחת רווח למניה %,צמיחת תזרים חופשי %,שולי תפעול %,חוב/הון,ROIC %,PEG,מכפיל עתידי
V,Visa Inc.,🟢 מגמה חזקה,"במגמת עלייה בריאה, מעל הממוצעים החשובים.",23/06/2026,328.48,0.58,85,52,בינוני,75,96.0,83.4,8,100,33.6,18.8,13.6,10.0,9.2,100,324.02,321.61,327.74,54.9,8665675,11112400,1.28,356.09,7.75,נמוך,0.46,21.4,-17.2,,6.6,78,גבוה,False,Financial Services,624684826624,17.1,35.5,15.4,67.3,0.67,44.7,1.44,22.1
PG,Procter & Gamble Company (The),🟡 למעקב,"תמונה מעורבת — שווה לעקוב, בלי להיחפז.",23/06/2026,150.86,2.15,73,67,גבוה,63,68.0,85.9,4,100,23.8,15.8,13.6,10.0,9.6,100,146.59,145.24,147.3,58.4,9294210,7258800,0.78,165.95,9.09,נמוך,-0.04,18.9,-15.5,,7.1,86,גבוה,False,Consumer Defensive,351292456960,7.4,5.8,-15.0,23.0,0.68,21.5,4.15,21.3
LLY,Eli Lilly and Company,🟡 למעקב,"תמונה מעורבת — שווה לעקוב, בלי להיחפז.",23/06/2026,1107.08,0.45,73,54,בינוני,61,93.0,84.1,28,50,32.5,15.2,12.8,5.0,7.2,100,1112.85,1016.61,967.13,55.9,3276750,3312100,1.01,1160.95,4.64,נמוך,0.5,37.8,-23.2,,3.6,73,גבוה,False,Healthcare,987228995584,55.5,169.9,1340.6,49.4,1.39,38.6,1.48,24.9
JPM,JP Morgan Chase & Co.,🟢 מגמה חזקה,"במגמת עלייה בריאה, מעל הממוצעים החשובים.",23/06/2026,334.14,0.8,73,85,גבוה,80,73.0,92.2,11,50,25.5,20.0,13.6,5.0,8.9,100,313.29,309.77,305.54,67.4,9876915,7578600,0.77,334.14,0.0,נמוך,0.84,22.1,-15.5,,1.3,84,גבוה,False,Financial Services,895331926016,12.7,17.2,-251.8,43.7,,,1.74,14.2
UNH,UnitedHealth Group Incorporated,🟢 מגמה חזקה,"במגמת עלייה בריאה, מעל הממוצעים החשובים.",23/06/2026,409.25,0.63,72,67,גבוה,80,65.0,90.3,34,100,22.8,20.0,12.8,10.0,6.6,100,394.97,374.9,330.33,64.7,7129700,6671800,0.94,411.04,0.44,בינוני,0.6,40.0,-29.0,,4.1,89,גבוה,False,Healthcare,371658096640,2.0,0.7,-22.4,8.0,0.74,11.0,1.41,19.6
NVDA,NVIDIA Corporation,🔴 להימנעות,"חלשה כרגע — לא בכיוון חיובי, עדיף להימנע.",23/06/2026,200.04,-4.13,69,66,גבוה,32,100.0,59.8,49,50,35.0,8.0,15.8,5.0,5.1,100,210.4,209.85,190.02,42.6,170793605,152828800,0.89,235.47,15.04,בינוני,1.85,35.5,-20.2,ביתא גבוהה (1.85) — רגיש לתנודות שוק,8.9,48,בינוני,False,Technology,4845168754688,85.2,214.5,58.9,65.6,0.07,76.3,0.64,15.7
AAPL,Apple Inc.,🟡 למעקב,"תמונה מעורבת — שווה לעקוב, בלי להיחפז.",23/06/2026,294.3,-0.91,68,72,גבוה,48,76.0,78.0,12,50,26.6,12.0,15.8,5.0,8.8,100,302.27,290.05,268.37,47.1,53218785,51936200,0.98,315.2,6.63,נמוך,0.88,22.6,-13.8,,4.6,68,גבוה,False,Technology,4322488745984,16.6,21.8,-9.2,32.3,0.8,82.3,2.4,30.7
COST,Costco Wholesale Corporation,🟡 למעקב,"תמונה מעורבת — שווה לעקוב, בלי להיחפז.",23/06/2026,957.68,0.67,67,51,בינוני,35,72.0,58.4,4,100,25.2,8.8,13.6,10.0,9.6,100,972.08,998.25,955.94,40.5,2543090,2528100,0.99,1094.32,12.49,נמוך,-0.05,18.9,-15.1,,7.6,42,בינוני,False,Consumer Defensive,424710799360,21.5,45.5,18.2,3.7,0.6,35.4,4.64,42.3
MA,Mastercard Incorporated,🔴 להימנעות,"חלשה כרגע — לא בכיוון חיובי, עדיף להימנע.",23/06/2026,488.07,0.82,66,50,בינוני,12,87.0,48.1,10,100,30.4,3.0,13.6,10.0,9.0,100,489.32,498.29,532.58,47.3,4018640,3934700,0.98,596.25,18.14,נמוך,0.42,21.4,-20.9,,8.6,31,נמוך,False,Financial Services,431250800640,15.8,21.2,21.0,60.8,2.82,96.2,1.5,21.4
ADBE,Adobe Inc.,🔴 להימנעות,"חלשה כרגע — לא בכיוון חיובי, עדיף להימנע.",23/06/2026,197.43,1.3,65,51,בינוני,0,96.0,36.0,43,100,33.6,0.0,15.8,10.0,5.7,100,230.91,240.4,293.8,30.0,8412150,6906300,0.82,392.1,49.65,בינוני,0.47,34.7,-50.3,ירידה מקסימלית עמוקה (-50.3%),19.9,31,נמוך,False,Technology,78478426112,12.7,7.9,25.1,35.3,0.61,57.2,0.54,7.2
